ID	名称	类型	位置	等级	HP	防御	攻击	力量	敏捷	智力	价格
2001	血瓶	1	1	1	10	0	0	0	0	0	10
2002	饼干	1	1	5	30	0	0	0	0	0	20
2003	鲜肉	1	1	10	100	0	0	2	2	0	70
2004	仙丹	1	1	20	500	10	50	5	5	5	200
2005	铁棍	4	5	1	0	0	5	0	0	0	30
2006	短剑	4	5	3	0	0	10	0	0	0	50
2007	大刀	4	5	5	0	0	20	2	0	0	80
2008	屠龙刀	4	5	10	0	0	100	3	0	0	150
2009	偃月刀	2	5	20	50	0	150	5	3	0	200
2010	布甲	3	3	1	50	10	0	0	0	0	50
2011	铁甲	3	3	5	100	20	0	0	0	0	80
2012	七色甲	3	3	10	300	100	0	0	0	0	150
2013	紫金衣	2	3	20	500	200	50	0	5	3	200
2014	草鞋	5	4	1	0	5	0	0	2	0	15
2015	战靴	5	4	5	0	10	5	0	5	0	80
2016	筋斗云	2	4	15	0	30	10	0	10	0	150
2017	哈巴狗	6	6	5	100	10	20	0	0	0	50
2018	千里马	6	6	5	80	10	40	0	1	0	70
2019	金毛狮	6	6	10	150	30	80	2	0	0	120
2020	剑齿虎	6	6	15	200	50	100	2	2	1	150
