ID	Ãû³Æ	ÀàÐÍ	ROW	COL	ÊýÁ¿	Í·Ïñ	µØÍ¼
4001	Çà²Ý	1	10	21	1	²Ý	101
4002	Çà²Ý	1	10	22	1	²Ý	101
4003	Çà²Ý	1	10	23	1	²Ý	101
4004	Çà²Ý	1	11	21	1	²Ý	101
4005	Çà²Ý	1	11	22	1	²Ý	101
4006	Çà²Ý	1	11	23	1	²Ý	101
4007	Çà²Ý	1	12	21	1	²Ý	101
4008	Çà²Ý	1	12	22	1	²Ý	101
4009	Çà²Ý	1	12	23	1	²Ý	101
4010	Çà²Ý	1	13	21	1	²Ý	101
4011	Çà²Ý	1	13	22	1	²Ý	101
4012	Çà²Ý	1	13	23	1	²Ý	101
4013	Ä¾²Ä	2	12	1	1	Ä¾	101
4014	Ä¾²Ä	2	11	2	1	Ä¾	101
4015	Ä¾²Ä	2	10	3	1	Ä¾	101
4016	Ä¾²Ä	2	9	4	1	Ä¾	101
4017	Ä¾²Ä	2	8	5	1	Ä¾	101
4018	Ä¾²Ä	2	7	6	1	Ä¾	101
4019	Ä¾²Ä	2	6	7	1	Ä¾	101
4020	Ä¾²Ä	2	6	8	1	Ä¾	101
4021	Ä¾²Ä	2	6	9	1	Ä¾	101
4022	Ä¾²Ä	2	7	10	1	Ä¾	101
4023	Ä¾²Ä	2	8	11	1	Ä¾	101
4024	Ä¾²Ä	2	9	12	1	Ä¾	101
4025	Ä¾²Ä	2	10	13	1	Ä¾	101
4026	Ä¾²Ä	2	11	14	1	Ä¾	101
4027	Ä¾²Ä	2	12	15	1	Ä¾	101
4028	¸ÖÌú	3	13	4	1	Ìú	101
4029	¸ÖÌú	3	13	5	1	Ìú	101
4030	¸ÖÌú	3	13	6	1	Ìú	101
4031	¸ÖÌú	3	13	7	1	Ìú	101
4032	¸ÖÌú	3	13	8	1	Ìú	101
4033	¸ÖÌú	3	13	9	1	Ìú	101
4034	¸ÖÌú	3	13	10	1	Ìú	101
4035	¸ÖÌú	3	13	11	1	Ìú	101
4036	¸ÖÌú	3	7	6	1	Ìú	102
4037	¸ÖÌú	3	7	7	1	Ìú	102
4038	¸ÖÌú	3	8	6	1	Ìú	102
4039	¸ÖÌú	3	8	7	1	Ìú	102
4040	Çà²Ý	1	10	1	1	²Ý	103
4041	Çà²Ý	1	10	2	1	²Ý	103
4042	Çà²Ý	1	10	3	1	²Ý	103
4043	Çà²Ý	1	11	1	1	²Ý	103
4044	Çà²Ý	1	11	2	1	²Ý	103
4045	Çà²Ý	1	11	3	1	²Ý	103
4046	Çà²Ý	1	12	1	1	²Ý	103
4047	Çà²Ý	1	12	2	1	²Ý	103
4048	Çà²Ý	1	12	3	1	²Ý	103
4049	Çà²Ý	1	13	1	1	²Ý	103
4050	Çà²Ý	1	13	2	1	²Ý	103
4051	Çà²Ý	1	13	3	1	²Ý	103
4052	Ä¾²Ä	2	1	1	1	Ä¾	103
4053	Ä¾²Ä	2	1	2	1	Ä¾	103
4054	Ä¾²Ä	2	1	3	1	Ä¾	103
4055	Ä¾²Ä	2	2	1	1	Ä¾	103
4056	Ä¾²Ä	2	2	2	1	Ä¾	103
4057	Ä¾²Ä	2	2	3	1	Ä¾	103
4058	Ä¾²Ä	2	3	1	1	Ä¾	103
4059	Ä¾²Ä	2	3	2	1	Ä¾	103
4060	Ä¾²Ä	2	3	3	1	Ä¾	103
4061	Ä¾²Ä	2	4	1	1	Ä¾	103
4062	Ä¾²Ä	2	4	2	1	Ä¾	103
4063	Ä¾²Ä	2	4	3	1	Ä¾	103
4064	¸ÖÌú	3	7	6	1	Ìú	104
4065	¸ÖÌú	3	7	7	1	Ìú	104
4066	¸ÖÌú	3	8	6	1	Ìú	104
4067	¸ÖÌú	3	8	7	1	Ìú	104
4068	½ð×Ó	4	13	13	1	½ð	101
4069	½ð×Ó	4	7	3	1	½ð	102
4070	ÕäÖé	5	13	23	1	Õä	104
