ID	name	type	num	ack	row	col	level	HP	head	iMapID	money	BkHp
1001	Ò°¹·	1	5	5	10	20	1	100	¹·	101	10	100
1002	Ò°¹·	1	5	5	10	15	1	100	¹·	101	10	100
1003	Ò°¹·	1	5	5	5	20	1	100	¹·	101	10	100
1004	Ò°¹·	1	5	5	3	10	1	100	¹·	101	10	100
1005	Ò°¹·	1	5	5	5	20	1	100	¹·	102	10	100
1006	Ò°¹·	1	5	5	7	17	1	100	¹·	102	10	100
1007	²òÀÇ	2	10	10	7	8	5	300	ÀÇ	102	30	300
1008	²òÀÇ	2	10	10	8	3	5	300	ÀÇ	102	30	300
1009	²òÀÇ	2	10	10	4	10	5	300	ÀÇ	102	30	300
1010	²òÀÇ	2	10	10	10	7	5	300	ÀÇ	102	30	300
1011	²òÀÇ	2	10	10	2	8	5	300	ÀÇ	103	30	300
1012	ºÚÐÜ	3	20	25	8	17	5	300	ÐÜ	103	30	300
1013	ºÚÐÜ	3	20	25	10	22	5	300	ÐÜ	103	30	300
1014	ºÚÐÜ	3	20	25	7	5	20	300	ÐÜ	103	30	300
1015	ºÚÐÜ	3	20	25	8	8	3	300	ÐÜ	101	30	300
1016	Ò°Öí	4	50	40	2	20	10	500	Öí	104	70	500
1017	Ò°Öí	4	50	40	6	8	10	500	Öí	104	70	500
1018	Ò°Öí	4	50	40	2	10	10	500	Öí	104	70	500
1019	BOOS	5	100	50	11	12	20	1000	Ñý	104	100	1000
1020	BOOS	5	100	50	10	13	20	1000	Ñý	105	100	1000
1021	ÈöÌ¹	6	500	100	12	7	50	5000	Èö	105	500	5000
